Title,Main Story,Main + Extras,Completionist
Counter-Strike,25.99,99.67,508.11
Counter-Strike: Condition Zero,3.68,12.68,121.04
Counter-Strike: Condition Zero Deleted Scenes,6.11,7.28,8.4
Day of Defeat: Source,2.72,9.82,10.0
Team Fortress Classic,15.95,20.5,0.0
Day of Defeat,4.55,24.66,103.61
Deathmatch Classic,1.23,8.0,12.0
Half-Life: Opposing Force,5.24,6.27,7.15
Ricochet,37.66,47.21,177.96
Half-Life,12.04,14.07,15.35
Half-Life: Blue Shift,3.05,3.37,3.67
Half-Life 2,12.87,15.54,19.73
Half-Life 2: Deathmatch,2.53,12.04,21.55
Half-Life Deathmatch: Source,2.88,3.0,4.0
Counter-Strike: Source,65.88,107.62,466.97
Half-Life: Source,11.16,13.2,13.97
Psychonauts,12.02,15.27,21.68
Garry's Mod,51.54,264.87,575.64
Vampire: The Masquerade - Bloodlines,22.86,28.6,39.65
Deus Ex: Game of the Year Edition,22.94,28.62,38.93
Quake,5.36,7.71,16.53
Portal,3.12,5.25,10.29
Max Payne,8.1,9.21,11.46
Max Payne 2: The Fall of Max Payne,6.19,7.75,9.53
The Witcher: Enhanced Edition,35.29,45.94,63.96
Left 4 Dead,6.98,19.1,59.29
Killing Floor,18.99,59.89,288.92


Left 4 Dead 2,10.28,26.54,59.17
S.T.A.L.K.E.R.: Call of Pripyat,15.07,24.25,31.67
S.T.A.L.K.E.R.: Call of Prypiat - Enhanced Edition,15.07,24.25,31.67
Just Cause 2,17.73,34.58,86.12
F.E.A.R.,8.17,10.13,12.22


VVVVVV,2.41,3.46,4.93
Gothic 3,44.5,67.75,113.8



Fallout: New Vegas,26.96,59.77,131.34
Super Meat Boy,9.39,18.42,44.95
Return to Castle Wolfenstein,8.02,10.17,10.99
Spec Ops: The Line,6.12,7.51,16.25
F.E.A.R. 3,5.78,7.93,17.7
Portal 2,8.59,13.74,22.3
Terraria,52.06,92.33,201.05

Duke Nukem Forever,9.17,12.32,21.31
E.Y.E: Divine Cybermancy,11.19,22.44,48.64
Railroad Tycoon 3,26.17,37.34,38.0
F.E.A.R. 2: Project Origin,7.12,8.61,10.79
Arma 2,0.0,0.0,0.0
Arma 2: Operation Arrowhead,8.0,8.37,11.32
Arma 2: British Armed Forces,5.24,6.28,17.0
Arma 2: Private Military Company,6.0,8.01,12.47
Arma: Gold Edition,22.78,28.15,37.79
Arma: Cold War Assault,23.35,36.52,68.09
Arma X: Anniversary Edition,0.5,0.0,0.0
